Judul,Jenis Jurnal
A Clustering Approach for Mapping Dengue Contingency Plan,penelitian
A Combination of Block-Based Chaos with Dynamic Iteration Pattern and Stream Cipher for Color Image Encryption,penelitian
A combination of Hill CIPHER-LSB in RGB image encryption,penelitian
A Combination of K-Means and Fuzzy C-Means for Brain Tumor Identification,penelitian
A Comparative Study MD5 and SHA1 Algorithms to Encrypt REST API Authentication on Mobilebased Application ,penelitian
A Comparative Study of MobileNet Architecture Optimizer for Crowd Prediction,penelitian
A Comparison of Non Blind Image Watermarking Using Transformation Domain,penelitian
A Computational Theory Study of Surface Plasmon Resonance (SPR) Porcine Gelatine Detected Sensor based-on Fe3 O4 Nanoparticle—CNT with ATR Method in Kretschmann Configuration,penelitian
"A File Encoding Using A Combination of Advanced Encryption Standard, Cipher Block Chaining and Stream Cipher In Telkom Region 4 Semarang",penelitian
"A File Encoding Using A Combination of Advanced Encryption Standard, Cipher Block Chaining and Stream Cipher In Telkom Region 4 Semarang",penelitian
A high result in wavelet watermarking using singular value decomposition,penelitian
A hybrid EMD-GRNN-PSO in intermittent time-series data for dengue fever forecasting,penelitian
A machine learning approach for corrosion small datasets,penelitian
A machine learning approach for corrosion small datasets,penelitian
A Machine Learning Model for Evaluation of the Corrosion Inhibition Capacity of Quinoxaline Compounds,penelitian
A Multi-Class Classification of Dengue Infection Cases with Feature Selection in Imbalanced Clinical Diagnosis Data,penelitian
A Novel Approach on Linear Discriminant Analysis (LDA),penelitian
A novel approach on linear discriminant analysis (LDA),penelitian
A Robust Feature Construction for Fish Classification Using Grey Wolf Optimizer,penelitian
A Robust Image Enhancement Techniques for Underwater Fish Classification in Marine Environment,penelitian
A Rule-Generation Model for Class Imbalances to Detect Student Entrepreneurship Based on the Theory of Planned Behavior,penelitian
"A Systematic Review of Intelligence Video Surveillance Trends, Techniques, Frameworks, and Datasets",penelitian
"A Systematic Review of Intelligence Video Surveillance: Trends, Techniques, Frameworks, and Datasets",penelitian
A text security evaluation based on advanced encryption standard algorithm,penelitian
A Video Quality Testing Review of Human Visual Aspect,penelitian
A Video Quality Testing: Review of Human Visual Aspect,penelitian
Adaptasi Digital Marketing berbasis Website untuk Produk UMKM Fatikha Sweet Honey,penelitian
Adaptasi Pemasaran Digital Berbasis Virtual Reality Produk UMKM Lumintu,penelitian
Adaptasi Pemasaran Digital Berbasis Virtual Reality Produk UMKM Lumintu,penelitian
Adaptive threshold for moving objects detection  using gaussian mixture model  ,penelitian
Adaptive threshold for moving objects detection using gaussian mixture model,penelitian
Adaptive threshold for moving objects detection using gaussian mixture model,penelitian
Adding feature selection on Naïve Bayes to increase accuracy on classification heart attack disease,penelitian
AKULTURASI BUDAYA WARAK NGENDHOG DALAM BENTUK FILM ANIMASI 3D SI WARIK,penelitian
Akulturasi Budaya Warak Ngendhog dalam Bentuk Film Animasi 3D Si Warik,penelitian
Akun Instagram Parenting sebagai Media Edukasi Ketahanan Keluarga,penelitian
Akun Instagram Parenting sebagai Media Edukasi Ketahanan Keluarga,penelitian
ALGORITHMIC COMPOSITION USING GATED RECURRENT UNIT FOR NATIONALISTIC MUSIC ,penelitian
An Enhancement of Data Hiding Imperceptibility using Slantlet Transform (SLT),penelitian
An Evaluation of Sentence Selection Methods on the Different Phone-sized Units for Constructing Indonesian Speec,penelitian
An Extractive Text Summarization based on Candidate Summary Sentences using Fuzzy-Decision Tree,penelitian
An Image Encryption Scheme Combining 2D Cascaded Logistic Map and Permutation-Substitution Operations,penelitian
